time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-01-31T23:20:48.932Z,-31.7572,-68.9636,10,4.7,mwr,,39,0.318,0.88,us,us6000ddi8,2021-02-01T13:38:10.785Z,"31 km SW of Villa Basilio Nievas, Argentina",earthquake,2,1.7,0.038,68,reviewed,us,us
2021-01-31T23:08:17.066Z,-15.5915,-177.1702,416.14,4.1,mb,,60,1.572,1.3,us,us6000dev6,2021-02-06T02:32:14.040Z,"174 km SE of Alo, Wallis and Futuna",earthquake,14.1,8,0.165,10,reviewed,us,us
2021-01-31T22:23:17.250Z,19.207,-155.500666666667,35.27,2.68,md,51,116,,0.1,hv,hv72336852,2021-02-01T00:31:23.094Z,"2 km W of Pāhala, Hawaii",earthquake,0.57,0.66,0.0897552892692697,22,reviewed,hv,hv
2021-01-31T22:06:01.148Z,28.1914,57.2543,10,4.9,mb,,71,3.366,0.53,us,us6000ddhs,2021-01-31T23:41:57.040Z,"118 km N of Mīnāb, Iran",earthquake,8.7,1.9,0.063,78,reviewed,us,us
2021-01-31T21:34:54.690Z,18.9996,-65.4121,46,3.55,md,11,305,0.9132,0.31,pr,pr2021031019,2021-01-31T22:04:49.040Z,"76 km NNE of Luquillo, Puerto Rico",earthquake,3.33,10.51,0.06,8,reviewed,pr,pr
2021-01-31T21:26:30.180Z,19.025,-65.4221,30,3.27,md,9,305,0.9368,0.37,pr,pr2021031018,2021-01-31T21:52:15.880Z,"78 km NNE of Luquillo, Puerto Rico",earthquake,2.93,22.94,0.04,7,reviewed,pr,pr
2021-01-31T21:14:31.020Z,19.0436,-65.359,28,3.48,md,14,309,0.9659,0.37,pr,pr2021031020,2021-01-31T23:43:41.040Z,"82 km N of Culebra, Puerto Rico",earthquake,2.54,23.29,0.07,12,reviewed,pr,pr
2021-01-31T20:50:37.780Z,18.998,-65.4401,24,3.24,md,11,304,0.9078,0.3,pr,pr2021031017,2021-01-31T21:19:53.840Z,"75 km NNE of Luquillo, Puerto Rico",earthquake,1.82,22.91,0.08,8,reviewed,pr,pr
2021-01-31T20:42:01.060Z,33.171,-115.649,5.12,2.57,ml,71,30,0.02525,0.23,ci,ci39537047,2021-02-02T19:57:13.700Z,"14km WNW of Calipatria, CA",earthquake,0.15,0.32,0.131,26,reviewed,ci,ci
2021-01-31T20:19:19.140Z,19.0061,-65.4341,37,3.21,md,5,305,0.9165,0.34,pr,pr2021031016,2021-01-31T21:19:30.820Z,"76 km NNE of Luquillo, Puerto Rico",earthquake,4.86,21.97,0.06,3,reviewed,pr,pr
2021-01-31T20:04:24.293Z,24.9535,94.4554,53.75,4.1,mb,,107,0.734,1.19,us,us6000ddgp,2021-01-31T20:32:49.040Z,"51 km NE of Yairipok, India",earthquake,8.4,11.2,0.198,7,reviewed,us,us
2021-01-31T20:02:18.192Z,44.4169,-115.3202,10,2.6,ml,,87,0.326,0.46,us,us6000ddgn,2021-02-02T17:09:05.330Z,"37 km NW of Stanley, Idaho",earthquake,3.6,2,0.091,16,reviewed,us,us
2021-01-31T19:52:34.262Z,44.4617,-115.1551,10,2.7,ml,,80,0.286,0.96,us,us6000ddgm,2021-02-01T15:35:58.320Z,"32 km NNW of Stanley, Idaho",earthquake,2.5,1.8,0.081,20,reviewed,us,us
2021-01-31T19:05:14.669Z,2.6669,-59.6065,7.22,5.6,mww,,25,0.954,0.61,us,us6000ddge,2021-02-01T22:43:21.040Z,"82 km SSE of Lethem, Guyana",earthquake,7,4,0.048,42,reviewed,us,us
2021-01-31T18:57:44.770Z,44.4698333,-115.2143333,9.48,2.61,ml,11,82,0.315,0.25,mb,mb80485749,2021-02-01T15:56:03.720Z,"35 km NW of Stanley, Idaho",earthquake,0.71,1.12,0.231,15,reviewed,mb,mb
2021-01-31T18:51:09.750Z,19.0075,-65.4261,51,3.57,md,13,305,0.919,0.48,pr,pr2021031014,2021-01-31T20:40:26.040Z,"76 km NNE of Luquillo, Puerto Rico",earthquake,4.61,11.69,0.06,9,reviewed,pr,pr
2021-01-31T18:19:16.480Z,18.979,-65.4648,46,3.44,md,13,303,0.8861,0.34,pr,pr2021031012,2021-01-31T20:37:20.040Z,"72 km NNE of Luquillo, Puerto Rico",earthquake,3.53,9.41,0.05,9,reviewed,pr,pr
2021-01-31T18:09:43.390Z,19.0581,-65.3911,25,3.41,md,11,308,0.9743,0.34,pr,pr2021031011,2021-01-31T18:34:04.040Z,"83 km NNE of Luquillo, Puerto Rico",earthquake,1.78,26.15,0.09,7,reviewed,pr,pr
2021-01-31T17:59:08.440Z,19.0903,-65.3938,24,3.46,md,14,299,1.0056,0.38,pr,pr2021031010,2021-01-31T18:37:07.040Z,"86 km NNE of Luquillo, Puerto Rico",earthquake,1.72,29.92,0.07,11,reviewed,pr,pr
2021-01-31T17:33:19.360Z,18.9663,-65.4251,66,3.04,md,3,313,0.8784,0.1,pr,pr2021031009,2021-01-31T17:57:23.479Z,"72 km NNE of Luquillo, Puerto Rico",earthquake,5.66,9.79,0,1,reviewed,pr,pr
2021-01-31T16:26:21.060Z,38.172,-117.9552,0,2.5,ml,10,107.04,0.038,0.24,nn,nn00799311,2021-01-31T16:41:08.040Z,"27 km SSE of Mina, Nevada",earthquake,,3.3,,,automatic,nn,nn
